02:19:10.974 [main] INFO  - loadGraph: Initiating the loading process from /Users/seyfal/Desktop/CS441 Cloud/Project 1NetGraph_25-09-23-01-46-17.ngs.dot
02:19:10.980 [main] INFO  - loadGraph: Opening file /Users/seyfal/Desktop/CS441 Cloud/Project 1NetGraph_25-09-23-01-46-17.ngs.dot
02:19:10.983 [main] INFO  - loadGraph: Successfully read 153 lines from /Users/seyfal/Desktop/CS441 Cloud/Project 1NetGraph_25-09-23-01-46-17.ngs.dot
02:19:11.006 [main] INFO  - loadGraph: Successfully loaded graph from /Users/seyfal/Desktop/CS441 Cloud/Project 1NetGraph_25-09-23-01-46-17.ngs.dot containing 101 nodes
02:19:11.006 [main] INFO  - loadGraph: Closing the file /Users/seyfal/Desktop/CS441 Cloud/Project 1NetGraph_25-09-23-01-46-17.ngs.dot
02:19:11.006 [main] INFO  - loadGraph: Initiating the loading process from /Users/seyfal/Desktop/CS441 Cloud/Project 1NetGraph_25-09-23-01-46-17.ngs.perturbed.dot
02:19:11.006 [main] INFO  - loadGraph: Opening file /Users/seyfal/Desktop/CS441 Cloud/Project 1NetGraph_25-09-23-01-46-17.ngs.perturbed.dot
02:19:11.007 [main] INFO  - loadGraph: Successfully read 157 lines from /Users/seyfal/Desktop/CS441 Cloud/Project 1NetGraph_25-09-23-01-46-17.ngs.perturbed.dot
02:19:11.009 [main] INFO  - loadGraph: Successfully loaded graph from /Users/seyfal/Desktop/CS441 Cloud/Project 1NetGraph_25-09-23-01-46-17.ngs.perturbed.dot containing 96 nodes
02:19:11.009 [main] INFO  - loadGraph: Closing the file /Users/seyfal/Desktop/CS441 Cloud/Project 1NetGraph_25-09-23-01-46-17.ngs.perturbed.dot
02:19:50.846 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Initiating the loading process from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/graph1554837468079815387txt
02:19:50.852 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Opening file /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/graph1554837468079815387txt
02:19:50.852 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Successfully read 2 lines from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/graph1554837468079815387txt
02:19:50.858 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Successfully loaded graph from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/graph1554837468079815387txt containing 2 nodes
02:19:50.858 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Closing the file /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/graph1554837468079815387txt
02:19:50.864 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Initiating the loading process from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/emptyGraph5998711795363117381txt
02:19:50.864 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Opening file /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/emptyGraph5998711795363117381txt
02:19:50.864 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Successfully read 0 lines from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/emptyGraph5998711795363117381txt
02:19:50.864 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Successfully loaded graph from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/emptyGraph5998711795363117381txt containing 0 nodes
02:19:50.864 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Closing the file /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/emptyGraph5998711795363117381txt
02:19:50.866 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Initiating the loading process from nonExistentFile.txt
02:19:50.869 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Initiating the loading process from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/malformedGraph15459205068047541542txt
02:19:50.869 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Opening file /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/malformedGraph15459205068047541542txt
02:19:50.869 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Successfully read 3 lines from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/malformedGraph15459205068047541542txt
02:19:50.869 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Successfully loaded graph from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/malformedGraph15459205068047541542txt containing 2 nodes
02:19:50.869 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Closing the file /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/malformedGraph15459205068047541542txt
02:36:20.195 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Initiating the loading process from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/graph16542354378128200843txt
02:36:20.200 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Opening file /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/graph16542354378128200843txt
02:36:20.201 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Successfully read 2 lines from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/graph16542354378128200843txt
02:36:20.206 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Successfully loaded graph from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/graph16542354378128200843txt containing 2 nodes
02:36:20.206 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Closing the file /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/graph16542354378128200843txt
02:36:20.211 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Initiating the loading process from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/emptyGraph1639415374299324726txt
02:36:20.211 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Opening file /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/emptyGraph1639415374299324726txt
02:36:20.211 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Successfully read 0 lines from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/emptyGraph1639415374299324726txt
02:36:20.211 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Successfully loaded graph from /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/emptyGraph1639415374299324726txt containing 0 nodes
02:36:20.211 [ScalaTest-run-running-GraphLoaderSpec] INFO  - loadGraph: Closing the file /var/folders/wy/x18cj45n2090h4nyf4cpg0l40000gn/T/emptyGraph1639415374299324726txt
